video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR,motion_model
MVI_39801,0.4669213465623105,0.4173829428263435,0.526679303145627,0.4930970533690501,0.7908696866912689,200,2214,46,4853,0.6339053562142486,0.8587530820711519,0.5023696682464455,UKF + CTRV
MVI_39811,0.5538608616388881,0.4881405378278078,0.629678989371017,0.4641068447412353,0.8225673541258449,183,136,2,599,0.7180722891566265,0.6919504643962848,0.7462437395659433,UKF + CTRV
MVI_39821,0.50504989853571,0.4735859174819812,0.5413145234702904,0.4817640047675804,0.8199871347873491,769,1375,30,4195,0.6641829393627955,0.7202563388130399,0.6162097735399285,UKF + CTRV
MVI_39851,0.5096648157301982,0.4766587886903836,0.5462103435428433,0.5392118611002731,0.8390114798216576,227,2117,18,5126,0.6895479550346807,0.8909147095179234,0.5624268435427233,UKF + CTRV
MVI_39861,0.4439541673890096,0.4110359432626272,0.480826569928221,0.4824561403508772,0.8284155336329142,44,1186,9,2394,0.6357652221612726,0.9257188498402557,0.4841269841269841,UKF + CTRV
MVI_39931,0.5917730409217622,0.4963909666618145,0.7096570799108988,0.4019333502925464,0.8354378606492108,1584,756,11,3931,0.7093210586881473,0.6476150451775583,0.7840244212668532,UKF + CTRV
MVI_40131,0.6594548357017721,0.6750200211171811,0.6457650626844951,0.7836074132080397,0.8298999210704825,1323,1943,50,15324,0.8013187691487944,0.8182127312295974,0.785108326807622,UKF + CTRV
MVI_40141,0.6384038471532043,0.6180537518685135,0.6626856737827266,0.7831886853101897,0.7850546598167722,585,743,21,6222,0.8414455477779587,0.8524076517150396,0.8307618129218901,UKF + CTRV
MVI_40152,0.5139265203753143,0.4948845322313553,0.536889942479403,0.4803991446899501,0.7677806664228056,1392,1498,26,5612,0.6826767404209391,0.689248092989466,0.6762295081967213,UKF + CTRV
MVI_40161,0.6854837909527545,0.6568159578695139,0.7182903429501224,0.7569811320754717,0.837416744872589,900,694,16,6625,0.8599881093935791,0.8470209339774557,0.8733584905660378,UKF + CTRV
MVI_40162,0.6770443453281805,0.6595623989905463,0.6966084084039489,0.7390107450492851,0.8481766392092456,1321,1566,52,11261,0.8298244826502671,0.8390522875816994,0.820797442500666,UKF + CTRV
MVI_40171,0.4877835075559787,0.397092343368552,0.6014993740104042,0.3998655913978494,0.8107026511145473,881,4424,53,8928,0.5731852162369874,0.7617455896007428,0.4594534050179211,UKF + CTRV
MVI_40172,0.4365668774797228,0.3940920699242849,0.4838157953865873,0.4299966927571381,0.8383331117194813,782,9495,64,18142,0.4823909179935439,0.7052709725315516,0.3665527505236468,UKF + CTRV
MVI_40181,0.615662943088263,0.6239510452379422,0.6086346846176229,0.7320325659741718,0.8218811685125401,961,917,31,7124,0.7667226420375035,0.7643694196428571,0.7690903986524424,UKF + CTRV
MVI_40191,0.6925479587064104,0.6869183700787184,0.6997258200549852,0.8133642353063723,0.81741059829971,2373,4724,70,38401,0.8917811715087776,0.9208599167822468,0.8644826957631312,UKF + CTRV
MVI_40192,0.6798459183211238,0.6719278887502402,0.6896105139087015,0.8124401234786929,0.7935797245735358,2918,2276,92,28183,0.8937692955374684,0.8838161318300086,0.9039491892275484,UKF + CTRV
MVI_40201,0.6753096913561124,0.6463628213178884,0.7082051645159276,0.7554233409610984,0.8213129443862607,892,1735,45,10925,0.8534298091112487,0.8891093037095814,0.8205034324942792,UKF + CTRV
MVI_40204,0.6200493105618161,0.5898204896106405,0.6539201431275888,0.7083556268949527,0.8166080208369296,973,5483,85,22428,0.8081594210082784,0.909867172675522,0.7269038701622972,UKF + CTRV
MVI_40211,0.5706317054692023,0.5321368307569722,0.6153065055771751,0.612304120719675,0.7701470636351364,752,1875,45,6892,0.7733986257009715,0.8486739469578783,0.710388856645386,UKF + CTRV
MVI_40212,0.568846572770651,0.5320558936911666,0.6125141073691722,0.591445614925752,0.7693607495002508,839,2319,61,7879,0.7580893682588598,0.8457571495546179,0.6868891991369463,UKF + CTRV
MVI_40213,0.5354393097394907,0.4905508369645203,0.5896619999890165,0.5521942352635679,0.7547679844848615,808,2590,51,7702,0.7213331375715754,0.8298986486486486,0.6378862633082316,UKF + CTRV
MVI_40241,0.6350907641631163,0.6279046377820569,0.6443046732715912,0.7194453553192486,0.8025558161009115,1946,3942,101,21347,0.832375055285272,0.8753036018810397,0.7934604394060055,UKF + CTRV
MVI_40243,0.6482181962028017,0.6383481203718767,0.6608802950285122,0.7434584755403868,0.8037797989915554,1157,1500,49,10548,0.8515395364525611,0.8658500734933856,0.8376943496397421,UKF + CTRV
MVI_40244,0.6301231547659206,0.6234703196519965,0.6390354256649132,0.7233004199296335,0.7907148741826167,982,1417,39,8811,0.839122592657241,0.8609121298949379,0.8184088071728521,UKF + CTRV
MVI_40732,0.6565484031005494,0.6661315255695589,0.6483423544925399,0.7705003474635164,0.8219416553937247,1765,832,45,11512,0.7842384271820345,0.7548413017276014,0.8160180681028492,UKF + CTRV
MVI_40751,0.6146723850542652,0.5965220839428889,0.6460739243380808,0.7232602220417005,0.7920629453590324,802,1220,22,7386,0.7249547164553435,0.746699196326062,0.7044408340102898,UKF + CTRV
MVI_40752,0.5403488921091469,0.4656199749617591,0.6286236626536258,0.5170306195110372,0.8235075366209289,895,7189,55,16852,0.6805545421379059,0.8834059480962303,0.5534654640398766,UKF + CTRV
MVI_40871,0.6756830850092741,0.5840656895811416,0.7905357785803564,0.666703071672355,0.853327101481443,1290,10874,43,36625,0.7786259541984732,0.916608113605266,0.6767508532423209,UKF + CTRV
MVI_40962,0.6565278295019504,0.6455547383645734,0.6692366474491374,0.720844327176781,0.8077270540111007,736,1361,19,7580,0.8478844169246647,0.8859813084112149,0.8129287598944591,UKF + CTRV
MVI_40963,0.5567609440678268,0.5284184636661177,0.5906778207146262,0.6702465847581407,0.7406498423596845,734,3066,38,11639,0.808173398262198,0.9094230149349952,0.727210241429676,UKF + CTRV
MVI_40981,0.6235678438695645,0.6096172739872603,0.6413100170034102,0.7910909266595806,0.7415534586077267,853,1268,41,10349,0.8757087215895084,0.8940004026575398,0.8581505459464682,UKF + CTRV
MVI_40991,0.3053351574696615,0.3905966716862303,0.2407418850072812,0.4687639446675591,0.7258915975121997,316,2030,35,4482,0.4306206896551724,0.5639450867052023,0.3482820169567157,UKF + CTRV
