video,track_id,seg_id,lvl,bucket,n_pred,model,iou,diou,expand,traceP
MVI_40992,38,0,full,medium,23,KF + CV,0.09786281070720355,-0.06750614080394603,1.0,11640.016188958367
MVI_40992,38,0,full,medium,23,EKF + CTRV,0.09861692007692234,-0.07506624929880414,1.0,18922.74907021565
MVI_40992,38,0,full,medium,23,UKF + CTRV,0.1664141443501737,0.019889179243898464,1.0,15226.381351689643
MVI_40992,39,0,full,medium,30,KF + CV,0.046716174154860526,-0.13323018854863417,1.0,18294.37212830988
MVI_40992,39,0,full,medium,30,EKF + CTRV,0.0315393787109792,-0.15259956648383222,1.0,34598.22928451304
MVI_40992,39,0,full,medium,30,UKF + CTRV,0.11210321317043173,-0.01224987650349639,1.0,21680.07194540464
MVI_40992,42,0,full,medium,21,KF + CV,0.025132086159473977,-0.17671669624475927,1.0,6673.921083598616
MVI_40992,42,0,full,medium,21,EKF + CTRV,0.019950105277309498,-0.18650425025259,1.0,12296.72861098044
MVI_40992,42,0,full,medium,21,UKF + CTRV,0.04441479386811277,-0.13587572981416418,1.0,10493.46379302126
MVI_63521,54,2,full,medium,22,KF + CV,0.10247693075308402,-0.017235920889427617,1.0,21279.487113134903
MVI_63521,54,2,full,medium,22,EKF + CTRV,0.12758160308837582,0.021052278705357072,1.0,23441.142560719927
MVI_63521,54,2,full,medium,22,UKF + CTRV,0.1255649307714922,0.06175345846521475,1.0,14903.22113881314
MVI_63521,63,0,full,medium,25,KF + CV,0.5361833783115079,0.5104524157941756,1.0,296.3339107181693
MVI_63521,63,0,full,medium,25,EKF + CTRV,0.1610617430930282,0.14046423505008238,1.0,311.55334284532785
MVI_63521,63,0,full,medium,25,UKF + CTRV,0.539978075998529,0.5388914221352874,1.0,151.97002801677397
MVI_63544,11,1,full,medium,35,KF + CV,0.014237777724735036,-0.1965986944562252,1.0,18516.871756322696
MVI_63544,11,1,full,medium,35,EKF + CTRV,0.0013189769812524236,-0.21875864219685978,1.0,36383.013146730744
MVI_63544,11,1,full,medium,35,UKF + CTRV,0.0,-0.26619907162216744,1.5000000000000004,19125.576343068493
MVI_63553,16,0,full,medium,30,KF + CV,0.19502303967448,0.10973273169003084,1.0,148470.44085294034
MVI_63553,16,0,full,medium,30,EKF + CTRV,0.21775725488582218,0.14263810293970788,1.0,236117.463422549
MVI_63553,16,0,full,medium,30,UKF + CTRV,0.18013253461350176,0.087444648805791,1.0,102006.84182519805
MVI_63553,51,1,full,medium,24,KF + CV,0.0,-0.42107332358556404,3.0000000000000018,1780.2672648950333
MVI_63553,51,1,full,medium,24,EKF + CTRV,0.0,-0.43144854621622125,3.100000000000002,7652.4001010874
MVI_63553,51,1,full,medium,24,UKF + CTRV,0.0,-0.3994939734752209,2.7000000000000015,6226.635465321134
MVI_63553,145,0,full,medium,27,KF + CV,0.0,-0.3400888044097682,2.100000000000001,9923.945985717415
MVI_63553,145,0,full,medium,27,EKF + CTRV,0.0,-0.38047202093621724,2.6000000000000014,82859.59747954294
MVI_63553,145,0,full,medium,27,UKF + CTRV,0.0,-0.2322256953939274,1.1,53120.29334030052
MVI_63554,9,0,full,medium,35,KF + CV,0.0,-0.551001899570569,4.700000000000003,12951.143711521365
MVI_63554,9,0,full,medium,35,EKF + CTRV,0.0,-0.5862229328241201,5.5000000000000036,164937.5155908238
MVI_63554,9,0,full,medium,35,UKF + CTRV,0.0,-0.47441444511222514,3.500000000000002,89971.18901464339
MVI_63554,32,0,full,long,57,KF + CV,0.0,-0.8340854737881933,inf,38731.41161790572
MVI_63554,32,0,full,long,57,EKF + CTRV,0.0,-0.8524528928810918,inf,957349.2938183768
MVI_63554,32,0,full,long,57,UKF + CTRV,0.0,-0.7549685823903317,inf,120712.23330241279
MVI_63554,36,0,full,long,49,KF + CV,0.0,-0.5295058379964734,3.8000000000000025,42621.62074611015
MVI_63554,36,0,full,long,49,EKF + CTRV,0.0,-0.5802606553958471,4.700000000000003,554019.3461187504
MVI_63554,36,0,full,long,49,UKF + CTRV,0.0,-0.33502403517049295,1.8000000000000007,113953.57264369342
MVI_63554,43,0,full,long,55,KF + CV,0.0,-0.6367123586255964,5.900000000000004,46491.7185953268
